Nombre,"Descripción corta","Precio normal","Meta: checked","Meta: limpieza_destacada","Meta: area","Meta: nebulizacion"
Sanitización,"Nebulización en Frio",50,,true,0-100,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",55,,true,101-150,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",60,,true,151-200,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",65,,true,201-250,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",72,,true,251-300,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",87.50,,true,301-350,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",108,,true,351-400,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",121.50,,true,401-450,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",130,,true,451-500,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",154,,true,501-550,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",162,,true,551-600,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",175.50,,true,601-650,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",189,,true,651-700,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",195,,true,701-750,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",200,,true,751-800,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",212.5,,true,801-850,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",216,,true,851-900,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",228,,true,901-950,"Nebulización en Frio"
Sanitización,"Nebulización en Frio",230,,true,951-1000,"Nebulización en Frio"
