name,price,categories
"Albrook",0,"ubicacion"
"Altos de Panamá",5,"ubicacion"
"Arraiján",0,"ubicacion"
"Avenida Balboa",0,"ubicacion"
"Bella Vista",0,"ubicacion"
"Betania",0,"ubicacion"
"Bijao",0,"ubicacion"
"Brisas del Golf",5,"ubicacion"
"Buenaventura",0,"ubicacion"
"Chanis",5,"ubicacion"
"Clayton",0,"ubicacion"
"Condado del Rey",0,"ubicacion"
"Coronado",0,"ubicacion"
"Costa del Este",5,"ubicacion"
"Costa Sur",5,"ubicacion"
"Costa Verde",5,"ubicacion"
"Curundu",0,"ubicacion"
"El Bosque",0,"ubicacion"
"Cangrejo9",0,"ubicacion"
"El Carmen",0,"ubicacion"
"El Dorado",0,"ubicacion"
"El Ingenio",0,"ubicacion"
"Gorgona",0,"ubicacion"
"Hato Pintado",0,"ubicacion"
"Las Cumbres",5,"ubicacion"
"Limajo",0,"ubicacion"
"Marbella",0,"ubicacion"
"Montelimar",0,"ubicacion"
"Obarrio",0,"ubicacion"
"Paitilla",0,"ubicacion"
"Panamá Pacífico",5,"ubicacion"
"Punta Pacífica",0,"ubicacion"
"Parque Lefevre",0,"ubicacion"
"San Francisco",0,"ubicacion"
"Santa María",5,"ubicacion"
"Transístmica",0,"ubicacion"
"Villas de la Fuente",0,"ubicacion"
"12 de Octubre",0,"ubicacion"
